City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
298,Uchiza,PE,85.32,few clouds,-8.4592,-76.4633,Hotel San Pedro
299,Tura,IN,73.83,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
302,Sola,VU,77.27,overcast clouds,-13.8833,167.55,Leumerus Bungalows
303,Ilebo,CD,79.27,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
304,Manta,EC,78.58,broken clouds,-0.95,-80.7333,Balandra Hotel
308,Gwadar,PK,88.0,clear sky,25.1216,62.3254,Sadaf Resort
309,Puerto+Ayacucho,VE,85.6,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
315,Sao+Filipe,CV,73.11,clear sky,14.8961,-24.4956,Hotel Xaguate
317,Salamiyah,SY,74.07,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
318,Banyo,CM,73.74,light rain,6.75,11.8167,Motel JOMBA
321,Banda+Aceh,ID,79.27,overcast clouds,5.5577,95.3222,Sulthan Hotel International
322,Ponta+Do+Sol,PT,75.0,scattered clouds,32.6667,-17.1,Hotel do Campo
326,Irara,BR,86.09,scattered clouds,-12.05,-38.7667,Hotel Avenida
328,Muscat,OM,88.99,clear sky,23.6139,58.5922,Mutrah Hotel
330,North+Ogden,US,76.77,clear sky,41.3072,-111.9602,Washington Estates Manufactured Home Community
332,Meulaboh,ID,75.61,overcast clouds,4.1363,96.1285,Kost Pria
333,Snyder,US,70.09,overcast clouds,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
334,Adamas,GR,72.82,scattered clouds,36.7333,24.4333,Aphrodite of Milos
336,Puerto+Carreno,CO,86.68,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
337,Maumere,ID,77.54,clear sky,-8.6199,122.2111,Sylvia Hotel
339,Castro,BR,70.97,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
347,Pabna,BD,82.92,scattered clouds,24.0,89.25,Hotel Dream Palace International
348,Montecristi,EC,76.82,broken clouds,-1.05,-80.6667,Balcones del Cerro Hotel - Cabañas
349,Huarmey,PE,71.62,broken clouds,-10.0681,-78.1522,Hotel Miramar
350,Pemangkat,ID,78.46,overcast clouds,1.1667,108.9667,Ramah Kost KITA
352,Aksu,CN,81.55,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
354,Vung+Tau,VN,83.32,scattered clouds,10.345999999999998,107.0843,Green hotel
356,Alofi,NU,73.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
357,Bairiki,KI,80.6,light rain,1.3292,172.9752,Tarawa Boutique Hotel
359,Port+Hedland,AU,73.45,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
360,Benguela,AO,77.94,clear sky,-12.5763,13.4055,Hotel Praia Morena
363,Aushiger,RU,70.18,broken clouds,43.3961,43.7317,Termal'nyye Istochniki 1 Aushiger Siti
364,Alice,US,87.55,overcast clouds,27.7523,-98.0697,"Holiday Inn Express & Suites Alice, an IHG Hotel"
365,Guhagar,IN,84.52,overcast clouds,17.4842,73.1929,Hotel Seawinds
370,Bouna,CI,89.2,overcast clouds,9.2667,-3.0,Hotel Reserve
371,Kulhudhuffushi,MV,83.8,clear sky,6.6221,73.07,Haajy Guest House 1
373,Kimbe,PG,75.09,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
378,Bubaque,GW,79.32,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
382,Saint-Francois,FR,71.47,clear sky,46.4154,3.9054,Manoir Du Bonheur
384,Ahuimanu,US,74.91,few clouds,21.4447,-157.8378,Paradise Bay Resort
385,Pasni,PK,85.57,clear sky,25.2631,63.471000000000004,Kashmiri Hotal
386,Lujan,AR,70.03,overcast clouds,-34.5703,-59.105,Hotel Biarritz
389,Tigre,AR,70.29,clear sky,-34.426,-58.5796,Puerto Delta Apartamentos
395,Bam,IR,86.79,clear sky,29.105999999999998,58.357,Bam Tourist Hotel
399,Dhidhdhoo,MV,83.91,clear sky,6.8833,73.1,Dhidhoo beach
400,Serro,BR,78.94,broken clouds,-18.6047,-43.3794,Pousada Mariana
403,Sompeta,IN,84.96,scattered clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
405,Flagstaff,US,73.89,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
407,Sibolga,ID,76.03,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
416,Kirakira,SB,76.32,overcast clouds,-10.4544,161.9205,SanBiz Lodge
417,Jiwani,PK,86.9,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
418,Erzin,TR,77.72,broken clouds,36.9559,36.2,Artemis Otel
419,Marawi,PH,71.65,broken clouds,7.9986,124.2928,Derogongan Residence
422,Yichang,CN,70.18,light rain,30.7144,111.2847,Gezhouba Hotel
423,Balabac,PH,82.69,broken clouds,7.9868,117.0645,Sing and Swing Lodge
424,Vao,NC,70.65,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
425,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
428,Siderno,IT,75.4,overcast clouds,38.2779,16.302,Grand Hotel President
431,Olinda,BR,73.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
436,Luganville,VU,70.95,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
438,Grand-Santi,GF,82.69,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
441,La+Orilla,MX,87.48,broken clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
443,Kalmunai,LK,82.38,broken clouds,7.4167,81.8167,VS Villa
444,Caramay,PH,80.02,scattered clouds,10.1815,119.236,Peace and Love Beach Club
448,Hobyo,SO,80.1,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
449,Tabou,CI,82.94,overcast clouds,4.423,-7.3528,hotêl doufoulougou
450,Mormugao,IN,81.66,scattered clouds,15.4,73.8,Coconut Creek Resort
453,Tete,MZ,71.04,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
454,Vila,PT,74.75,scattered clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
455,Tianpeng,CN,73.87,light rain,30.9866,103.9393,Shuangliu Love Home Business Hotel
456,Vanimo,PG,77.86,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
458,Kralendijk,BQ,87.78,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
462,Thouars,FR,73.62,overcast clouds,46.976000000000006,-0.2151,Contact-Hotel-du-Relais Thouars
463,Canico,PT,75.0,scattered clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
466,Gasa,PS,79.88,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
468,Boueni,YT,78.78,clear sky,-12.9025,45.0761,The feet in water
469,Nicoya,CR,87.35,broken clouds,10.1483,-85.45200000000001,Guayacan Real
472,Maceio,BR,83.64,broken clouds,-9.6658,-35.7353,Poutur Pousada
478,Ukiah,US,80.02,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
480,Fare,PF,79.36,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
481,Korla,CN,82.02,clear sky,41.7597,86.1469,Gulisitan Hotel
485,Luanda,AO,82.4,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
487,Ca+Mau,VN,78.58,scattered clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
488,Sarangani,PH,83.61,few clouds,5.4033,125.4636,Ballistic Islet
495,Chulumani,BO,80.04,overcast clouds,-16.4096,-67.5263,Hotel Cabanas Paradise
496,Varia,FR,82.85,overcast clouds,44.5725,-0.1104,Au Clos Magnolia
497,West+Wendover,US,70.81,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
500,Mombasa,KE,77.41,broken clouds,-4.0547,39.6636,New Palm Tree Hotel
501,Mana,GF,79.43,overcast clouds,5.6592,-53.7767,LE SAMANA
504,Ambulu,ID,75.65,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
507,Acopiara,BR,89.44,overcast clouds,-6.0953,-39.4525,Cantinho do Ceu Hotel
510,Hatillo,PR,88.3,clear sky,18.4863,-66.8254,Hotel Parador El Buen Cafe
512,Mbandaka,CD,78.91,light rain,0.0487,18.2603,Guest House Epervier
513,Basco,PH,84.88,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
517,Nabire,ID,76.32,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
518,Kabinda,CD,75.51,overcast clouds,-6.1333,24.4833,Village Mianda Mutole
519,Mayumba,GA,78.35,light rain,-3.432,10.6554,LIKWALE LODGE
521,Finschhafen,PG,78.1,overcast clouds,-6.6024,147.8681,Cossam Guest House
523,Mbuji-Mayi,CD,80.4,broken clouds,-6.15,23.6,GKT Hotel
526,Yei,SS,70.48,light rain,4.095,30.6779,City Link Hotel
530,Kudahuvadhoo,MV,83.73,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
537,Bull+Savanna,JM,83.25,light rain,17.8868,-77.5902,Big Red's
538,Sal+Rei,CV,77.2,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
544,Along,IN,72.88,scattered clouds,28.1667,94.7667,Hotel West
545,Kushima,JP,71.11,overcast clouds,31.4583,131.2333,Hanaoka
546,Khash,IR,83.08,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
547,Dalton,US,82.98,broken clouds,34.7698,-84.9702,Hampton Inn Dalton
549,Nishihara,JP,77.05,light rain,26.1842,127.7558,Minshuku Agaihama
551,Namibe,AO,74.68,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
552,Camacha,PT,71.53,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
555,Cravo+Norte,CO,83.57,broken clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
561,Dong+Hoi,VN,80.83,overcast clouds,17.4833,106.6,Nam Long Hotel
563,Majene,ID,78.42,few clouds,-3.5403,118.9707,Kost Putri RABBANI
564,Ambon,ID,77.14,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
566,Beyla,GN,76.26,moderate rain,8.6833,-8.6333,DIAN SINKO
567,Aden,YE,89.13,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
570,Balikpapan,ID,77.13,broken clouds,-1.2675,116.8289,ibis Balikpapan
574,Bonthe,SL,84.9,light rain,7.5264,-12.505,Bonthe Holiday Village
576,Porto+Novo,BJ,87.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
585,Praxedis+Guerrero,MX,88.29,clear sky,31.3667,-106.0167,Iglesia Bautista Dios con Nosotros
586,Koungou,YT,78.51,clear sky,-12.7336,45.2042,Villa Netibor
587,Bartica,GY,79.12,light rain,6.4,-58.6167,Relax Inn Hotel
589,Price,US,76.12,clear sky,39.5994,-110.8107,National 9 - Price River Inn
590,Marsh+Harbour,BS,78.19,broken clouds,26.5412,-77.0636,Abaco Beach Resort
592,Newberry,US,88.52,few clouds,34.2746,-81.6187,Hampton Inn Newberry-Opera House
593,Sinnamary,GF,79.5,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
594,Tuy+Hoa,VN,79.68,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
600,Torbat-E+Jam,IR,80.94,clear sky,35.244,60.6225,White building
605,Hualmay,PE,70.86,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
611,Pailon,BO,85.1,overcast clouds,-17.65,-62.75,Alojamiento pailon
612,Witu,KE,77.49,few clouds,-2.3889,40.4382,New City Guest House
615,Poum,NC,72.5,clear sky,-20.2333,164.0167,Gîte kajeon
616,Cordoba,AR,75.42,clear sky,-31.4135,-64.1811,Hotel Sussex
620,Bang+Krathum,TH,80.82,light rain,16.5783,100.3003,กศน.ตำบลบางงกระทุ่ม
621,Cururupu,BR,86.0,light rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
622,Oriximina,BR,84.99,few clouds,-1.7656,-55.8661,Pousada Tia Amélia
623,Biak,ID,76.77,scattered clouds,-0.9131,122.8766,Penginapan Kim
628,Antalaha,MG,72.61,clear sky,-14.9003,50.2788,Hotel Vitasoa
